id,address
1,"201 E GREENE ST, Milledgeville, GA, 31061, US"
2,"274 BETHEL FREEWILL RD, Baxley, GA, 31513, US"
3,"1217 BRECKINRIDGE TRL, Winder, GA, 30680, US"
4,"109 MEADOW RD NE, Milledgeville, GA, 31061, US"
5,"1681 SHADOWSTONE CT, Winder, GA, 30680, US"
6,"1242 SUMMER LN, Auburn, GA, 30011, US"
7,"595 CARSON SEGARS RD, Maysville, GA, 30558, US"
8,"321 BORDERS DR, Commerce, GA, 30530, US"
9,"656 FRIENDSHIP CHURCH RD, Alma, GA, 31510, US"
10,"123 HAMBY MTN PK DR, Baldwin, GA, 30511, US"
11,"922 ATLANTA HWY, Auburn, GA, 30011, US"
12,"545 HENDRICKS RD, Surrency, GA, 31563, US"
13,"106 E MONTEGO CT NW, Milledgeville, GA, 31061, US"
14,"1326 CREEKVIEW DR, Auburn, GA, 30011, US"
15,"1485 IRWINTON RD SW, Milledgeville, GA, 31061, US"
16,"180 GAMBLERS OAK LN, Axson, GA, 31624, US"
17,"125 N POINT RD NE, Milledgeville, GA, 31061, US"
18,"180 LAKEPORT RD, Milledgeville, GA, 31061, US"
19,"3413 HIGHWAY 59, Commerce, GA, 30530, US"
20,"106 ISLAND CREEK DR NE, Sparta, GA, 31087, US"
21,"427 RAYMOND DR, Winder, GA, 30680, US"
22,"104 SHILOH AVE SW, Milledgeville, GA, 31061, US"
23,"189 ETHERIDGE RD, Auburn, GA, 30011, US"
24,"1351 PRETTY FORD RD, Baxley, GA, 31513, US"
25,"102 TROTTERS GLN, Baldwin, GA, 30511, US"
26,"1685 HOLY FAMILY CHURCH RD, Pearson, GA, 31642, US"
27,"153 MOORE ST SE, Milledgeville, GA, 31061, US"
28,"664 ANTIOCH CHURCH RD, Pearson, GA, 31642, US"
29,"178 CANNON CRK, Homer, GA, 30547, US"
30,"410 W MONTGOMERY ST, Milledgeville, GA, 31061, US"
31,"289 THE OAKS CIR, Pearson, GA, 31642, US"
32,"407 GA HIGHWAY 203 S, Alma, GA, 31510, US"
33,"150 PA JOHNS RD NE, Milledgeville, GA, 31061, US"
34,"750 N COLUMBIA ST, Milledgeville, GA, 31061, US"
35,"1300 W HANCOCK ST, Milledgeville, GA, 31061, US"
36,"2128 HIGHWAY 198, Baldwin, GA, 30511, US"
37,"1701 GRANITE LN, Statham, GA, 30666, US"
38,"1775 HIGHWAY 211 NW, Hoschton, GA, 30548, US"
39,"165 WELBORN DR, Gillsville, GA, 30543, US"
40,"704 TOWNSEND LN, Alma, GA, 31510, US"
41,"823 WELBORN RD, Maysville, GA, 30558, US"
42,"103 COON DOG TRL, Lula, GA, 30554, US"
43,"87 NORTHSIDE ST, Baxley, GA, 31513, US"
44,"3450 GREENLEFFE DR, Statham, GA, 30666, US"
45,"2960 MOTT LN, Newton, GA, 39870, US"
46,"2416 HOLLY DR, Milledgeville, GA, 31061, US"
47,"2007 BURGUNDY DR, Braselton, GA, 30517, US"
48,"265 PANCRAS RD SW, Milledgeville, GA, 31061, US"
49,"103 GWEN ST, Alma, GA, 31510, US"
50,"760 APPIAN WAY, Statham, GA, 30666, US"
51,"259 HIGHWAY 164, Commerce, GA, 30529, US"
52,"384 EMMA DR, Winder, GA, 30680, US"
53,"420 RAYMOND DR, Winder, GA, 30680, US"
54,"2436 HOLLIS RD, Statham, GA, 30666, US"
55,"2081 GA HIGHWAY 32 W, Alma, GA, 31510, US"
56,"1649 SIMS BRIDGE RD, Commerce, GA, 30530, US"
57,"112 N MAIN ST SW, Milledgeville, GA, 31061, US"
58,"256 FLORIDA RD, Willacoochee, GA, 31650, US"
59,"1039 OLD DOUGLAS HWY, Pearson, GA, 31642, US"
60,"905 VININGS DR, Winder, GA, 30680, US"
61,"1221 BRIDGE CREST DR, Winder, GA, 30680, US"
62,"6773 GRAND HICKORY DR, Braselton, GA, 30517, US"
63,"1872 PARKER DR, Statham, GA, 30666, US"
64,"1013 ROLLING RIDGE LN, Auburn, GA, 30011, US"
65,"1825 HIDDEN CREEK DR, Hoschton, GA, 30548, US"
66,"1288 POOR ROBIN RD, Baxley, GA, 31513, US"
67,"193 FRAZIER DR SE, Milledgeville, GA, 31061, US"
68,"1660 VALLEY RD, Milledgeville, GA, 31061, US"
69,"102 COVENTRY CT NE, Milledgeville, GA, 31061, US"
70,"978 SPARTA HWY, Sparta, GA, 31087, US"
71,"258 HEBRON RD, Commerce, GA, 30530, US"
72,"284 MOUNTAIN CREEK LN, Maysville, GA, 30558, US"
73,"2948 CLEAR LAKE RD, Newton, GA, 39870, US"
74,"274 ROCK SPRINGS RD, Lula, GA, 30554, US"
75,"487 GIN MILL DR, Monroe, GA, 30656, US"
76,"135 CRANFORD DR SW, Milledgeville, GA, 31061, US"
77,"218 TYRONE RD, Commerce, GA, 30530, US"
78,"255 E COKER RD, Homer, GA, 30547, US"
79,"948 BALDWIN HEIGHTS RD, Baldwin, GA, 30511, US"
80,"272 JEFFERSON ST, Statham, GA, 30666, US"
81,"166 JOHNSON LAKE RD, Alma, GA, 31510, US"
82,"134 MULLIS DR, Alma, GA, 31510, US"
83,"1318 PRINCESS DR, Winder, GA, 30680, US"
84,"356 ALPINE DR, Baxley, GA, 31513, US"
85,"206 S WORTH ST, Alma, GA, 31510, US"
86,"105 SYCAMORE RD SW, Milledgeville, GA, 31061, US"
87,"1052 OCTAVIA CT, Winder, GA, 30680, US"
88,"260 E SCREVEN ST, Milledgeville, GA, 31061, US"
89,"704 TOWNSEND LN, Alma, GA, 31510, US"
90,"744 BRANNON HOLDER RD, Winder, GA, 30680, US"
91,"114 STEVENS DR NW, Milledgeville, GA, 31061, US"
92,"230 SARA HUNTER LN NW, Milledgeville, GA, 31061, US"
93,"1730 APPLE PIE RIDGE RD, Alto, GA, 30510, US"
94,"104 LAKESHORE DR, Alma, GA, 31510, US"
95,"1937 ROBIN CIR, Milledgeville, GA, 31061, US"
96,"437 EVANS ST, Homer, GA, 30547, US"
97,"1307 LACKEY RD, Winder, GA, 30680, US"
98,"255 CHEYENNE WAY, Auburn, GA, 30011, US"
99,"145 MATTHEWS SCHOOL RD, Winder, GA, 30680, US"
100,"5049 HIGHWAY 63, Carnesville, GA, 30521, US"
101,"165 JOHNS BLF, Auburn, GA, 30011, US"
102,"673 HICKORY FLAT RD, Gillsville, GA, 30543, US"
103,"1337 SHADY TRL, Auburn, GA, 30011, US"
104,"25 APARTMENT ST, Homer, GA, 30547, US"
105,"1123 ROCK SPRINGS RD, Lula, GA, 30554, US"
106,"419 ARROWHATCHEE DR, Winder, GA, 30680, US"
107,"900 RELAXED WAY, Winder, GA, 30680, US"
108,"777 SAMUEL CT, Bethlehem, GA, 30620, US"
109,"120 BUCKEYE LN NW, Milledgeville, GA, 31061, US"
110,"140 SPRINGBROOK DR, Auburn, GA, 30011, US"
111,"1450 FIELDSTONE CT, Winder, GA, 30680, US"
112,"1166 VICTRON DR, Hoschton, GA, 30548, US"
113,"6895 BUCK HEAD RD, Baxley, GA, 31513, US"
114,"1105 ASCOT WAY, Braselton, GA, 30517, US"
115,"1625 SADDLECREEK RD, Auburn, GA, 30011, US"
116,"104 WALKER DR NW, Milledgeville, GA, 31061, US"
117,"105 HARRISBURG RD SW, Milledgeville, GA, 31061, US"
