street_address,year,date,state,postal_code,city,lon,lat,block_geoid
5738 Terry Ave,2008,01/12/2008 12:37,MO,,St. Louis,-90.27412,38.677853,10000US295101063003004
5356 Page Blvd,2008,01/17/2008 04:00,MO,,St. Louis,-90.273315,38.661568,10000US295101055003018
5826 Roosevelt Pl,2008,01/20/2008 21:19,MO,,St. Louis,-90.275925,38.679592,10000US295101062001012
3859 Ohio Ave,2008,01/21/2008 17:38,MO,,St. Louis,-90.22941,38.58544,10000US295101241001022
4100 Saint Louis Ave,2008,01/30/2008 15:34,MO,,St. Louis,-90.23151,38.660286,10000US295101114001000
2418 N Euclid Ave,2008,01/30/2008 19:19,MO,,St. Louis,-90.25564,38.666134,10000US295101067003001
1646 S 39th St,2008,02/04/2008 17:45,MO,,St. Louis,-90.24488,38.61817,10000US295101273001010
5617 Enright Ave,2008,02/09/2008 17:30,MO,,St. Louis,-90.28238,38.654926,10000US295101053001012
5001 N Kingshighway Blvd,2008,02/09/2008 22:59,MO,,St. Louis,-90.24467,38.686893,10000US295101075003013
1500 Cass Ave,2008,02/11/2008 21:50,MO,,St. Louis,-90.197426,38.641838,10000US295101257001007
1411 Locust St,2008,02/12/2008 22:24,MO,,St. Louis,-90.20019,38.631313,10000US295101255001007
4769 Northland Ave,2008,02/16/2008 16:51,MO,,St. Louis,-90.25121,38.666668,10000US295101067002006
5889 Lotus Ave,2008,02/21/2008 20:35,MO,,St. Louis,-90.28047,38.67565,10000US295101062003010
4104 W Lee Ave,2008,02/22/2008 10:44,MO,,St. Louis,-90.22371,38.670467,10000US295101102002013
8527 Tara Ln,2008,02/23/2008 06:02,MO,,St. Louis,-90.24496,38.713654,10000US295101081001018
5241 Lotus Ave,2008,02/25/2008 20:11,MO,,St. Louis,-90.26344,38.668217,10000US295101065002002
4986 Rosalie St,2008,02/25/2008 20:25,MO,,St. Louis,-90.23709,38.690487,10000US295101076001004
5865 Lotus Ave,2008,02/27/2008 02:05,MO,,St. Louis,-90.27981,38.675343,10000US295101062003010
5957 Ferris Ave,2008,02/28/2008 19:34,MO,,St. Louis,-90.27318,38.688972,10000US295101269003053
4428 Vista Ave,2008,03/02/2008 18:00,MO,,St. Louis,-90.259995,38.62381,10000US295101181002022
5726 Waterman Blvd,2008,03/06/2008 23:00,MO,,St. Louis,-90.28663,38.65,10000US295101052001021
4448 Farlin Ave,2008,03/07/2008 04:50,MO,,St. Louis,-90.235794,38.673286,10000US295101101003023
4462 Clarence Ave,2008,03/10/2008 00:01,MO,,St. Louis,-90.2281,38.67791,10000US295101096004005
3724 Minnesota Ave,2008,03/10/2008 00:45,MO,,St. Louis,-90.23578,38.588528,10000US295101241005011
4275 W Carter Ave,2008,03/11/2008 15:35,MO,,St. Louis,-90.228294,38.67623,10000US295101096003005
4990 Childrens Pl,2008,03/17/2008 18:23,MO,,St. Louis,-90.26575,38.637333,10000US295101124003016
4947 Alcott Ave,2008,04/02/2008 15:50,MO,,St. Louis,-90.25225,38.692116,10000US295101074001006
4240 Enright Ave,2008,04/09/2008 01:20,MO,,St. Louis,-90.24581,38.648106,10000US295101192001000
5232 Louisiana Ave,2008,04/10/2008 17:00,MO,,St. Louis,-90.2499,38.570168,10000US295101155005009
3933 Labadie Ave,2008,04/14/2008 19:00,MO,,St. Louis,-90.226845,38.659424,10000US295101104002011
2500 Cora Ave,2008,04/15/2008 20:50,MO,,St. Louis,-90.24892,38.663418,10000US295101112001013
1635 Washington Ave,2008,04/17/2008 17:30,MO,,St. Louis,-90.20286,38.633057,10000US295101255003021
5096 Minerva Ave,2008,04/18/2008 00:20,MO,,St. Louis,-90.26567,38.661316,10000US295101066001011
4210 W San Francisco Ave,2008,04/19/2008 02:44,MO,,St. Louis,-90.229706,38.668736,10000US295101103001008
4210 W San Francisco Ave,2008,04/19/2008 02:44,MO,,St. Louis,-90.229706,38.668736,10000US295101103001008
4210 W San Francisco Ave,2008,04/19/2008 02:44,MO,,St. Louis,-90.229706,38.668736,10000US295101103001008
5 Carr St,2008,04/19/2008 11:11,MO,,St. Louis,-90.18213,38.63399,10000US295101257002039
1027 S Vandeventer Ave,2008,04/21/2008 03:10,MO,,St. Louis,-90.249,38.62737,10000US295101181001032
1027 S Vandeventer Ave,2008,04/21/2008 03:10,MO,,St. Louis,-90.249,38.62737,10000US295101181001032
5673 Ashland Ave,2008,04/23/2008 23:10,MO,,St. Louis,-90.269936,38.681282,10000US295101063001004
1515 Hampton Ave,2008,04/25/2008 01:20,MO,,St. Louis,-90.28818,38.623867,10000US295101045002023
5353 Wells Ave,2008,04/30/2008 21:50,MO,,St. Louis,-90.27044,38.665447,10000US295101066003002
5402 Arlington Ave,2008,05/04/2008 02:00,MO,,St. Louis,-90.242966,38.69501,10000US295101075001002
4233 W Natural Bridge Ave,2008,05/04/2008 16:35,MO,,St. Louis,-90.23446,38.66891,10000US295101102004016
3051 Thomas St,2008,05/09/2008 00:33,MO,,St. Louis,-90.22119,38.643745,10000US295101212002023
1199 Riverview Blvd,2008,05/10/2008 02:50,MO,,St. Louis,-90.23941,38.722687,10000US295101083003001
1199 Riverview Blvd,2008,05/10/2008 02:50,MO,,St. Louis,-90.23941,38.722687,10000US295101083003001
1120 Howard St,2008,05/12/2008 12:30,MO,,St. Louis,-90.19124,38.64305,10000US295101266002099
1120 Howard St,2008,05/12/2008 12:30,MO,,St. Louis,-90.19124,38.64305,10000US295101266002099
4246 Gano Ave,2008,05/12/2008 12:45,MO,,St. Louis,-90.215225,38.66866,10000US295101105001006
4246 Gano Ave,2008,05/12/2008 12:45,MO,,St. Louis,-90.215225,38.66866,10000US295101105001006
4145 N Grand Blvd,2008,05/12/2008 19:11,MO,,St. Louis,-90.21327,38.666023,10000US295101105001023
1211 N 7th St,2008,05/16/2008 14:15,MO,,St. Louis,-90.18849,38.636257,10000US295101257002022
3507 Dodier St,2008,05/18/2008 22:05,MO,,St. Louis,-90.21936,38.65646,10000US295101104001012
5546 Riverview Blvd,2008,05/19/2008 16:25,MO,,St. Louis,-90.25015,38.705883,10000US295101072001001
5727 Era Ave,2008,05/20/2008 21:50,MO,,St. Louis,-90.254776,38.710114,10000US295101073007018
1923 Prairie Ave,2008,05/23/2008 22:50,MO,,St. Louis,-90.22787,38.652203,10000US295101114002019
4744 Northland Ave,2008,05/23/2008 23:25,MO,,St. Louis,-90.25073,38.666435,10000US295101067002007
2329 Ann Ave,2008,05/30/2008 20:10,MO,,St. Louis,-90.22092,38.609776,10000US295101233003007
3520 Natural Bridge Ave,2008,06/01/2008 20:48,MO,,St. Louis,-90.21628,38.66092,10000US295101104001000
5211 N Euclid Ave,2008,06/02/2008 20:18,MO,,St. Louis,-90.24025,38.68611,10000US295101076001020
1449 Arlington Ave,2008,06/06/2008 03:01,MO,,St. Louis,-90.27165,38.66589,10000US295101066003004
4028 N 23rd St,2008,06/07/2008 21:45,MO,,St. Louis,-90.20913,38.662514,10000US295101202001004
3171 Minnesota Ave,2008,06/08/2008 12:16,MO,,St. Louis,-90.23355,38.599262,10000US295101165002007
1515 N Kingshighway Blvd,2008,06/09/2008 19:00,MO,,St. Louis,-90.26589,38.621304,10000US295101135004007
5133 Cates Ave,2008,06/10/2008 03:28,MO,,St. Louis,-90.26778,38.655586,10000US295101122002002
3921 N 25th St,2008,06/10/2008 05:30,MO,,St. Louis,-90.209564,38.66084,10000US295101202001011
3921 N 25th St,2008,06/10/2008 05:30,MO,,St. Louis,-90.209564,38.66084,10000US295101202001011
4734 S Grand Blvd,2008,02/25/2008 11:40,MO,,St. Louis,-90.24952,38.574284,10000US295101155007000
4900 Barnes Jewish Hospit,2008,06/08/2008 18:32,MO,,St. Louis,,,
